JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,International Small Business Journal,0266-2426,1741-2870,1999-01,17,2,,,,,
,International Social Work,0020-8728,1461-7234,1999-01,42,1,,,,,
,International Sociology,0268-5809,1461-7242,1999-03,14,1,,,,,Y
,International Studies,0020-8817,0973-0702,1999-01,36,1,2010-01,47,1,,
,Interpretation,0020-9643,2159-340X,1999-01,,,,,,,
,Intervention in School and Clinic,1053-4512,1538-4810,1999-01,34,3,,,,,
,Irish Theological Quarterly,0021-1400,1752-4989,1999-03,64,1,,,,,
,"JDMS: The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology",1548-5129,1557-380X,2004-04,1,1,,,,,
,Journal for the Education of the Gifted,0162-3532,2162-9501 ,1999-01,,,,,,,
,Journal for the Study of the New Testament,0142-064X,1745-5294,1999-01,21,71,,,,,
,Journal for the Study of the Old Testament,0309-0892,1476-6728,2001-09,26,1,,,,,
,Journal for the Study of the Pseudepigrapha ,0951-8207,1745-5286,1999-04,10,19,,,,,
,"Journal of Accounting, Auditing & Finance",0148-558X,,1999-01,,,,,,,
,Journal of Adolescent Research,0743-5584,1552-6895,1999-01,14,1,,,,,
,Journal of Advanced Academics,1932-202X,,1999-08,11,1,,,,,
,Journal of Aging and Health,0898-2643,1552-6887,1999-02,11,1,,,,,
,Journal of Applied Gerontology,0733-4648,1552-4523,1999-03,18,1,,,,,
,Journal of Asian and African Studies,0021-9096,1745-2538,1999-01,34,1,,,,,
,Journal of Asthma & Allergy Educators,2150-1297,2150-1300,2010-02,1,1,,,,,
,Journal of Attention Disorders,1087-0547,1557-1246,1999-04,3,1,,,,,
,Journal of Bioactive and Compatible Polymers,0883-9115,1530-8030,1999-01,14,1,,,,,
,Journal of Biological Rhythms,0748-7304,1552-4531,1999-02,14,1,,,,,
,Journal of Biomaterials Applications,0885-3282,1530-8022,1999-01,13,3,,,,,
,Journal of Biomolecular Screening,1087-0571,1552-454X,1999-02,4,1,,,,,
,Journal of Black Psychology,0095-7984,1552-4558,1999-02,25,1,,,,,
,Journal of Black Studies,0021-9347,1552-4566,1999-01,29,3,,,,,Y
,Journal of Building Physics,1744-2591,1744-2583,1999-01,22,3,,,,,
,Journal of Business and Technical Communication,1050-6519,1552-4574,1999-01,13,1,,,,,
,Journal of Cardiovascular Pharmacology and Therapeutics,1074-2484,1940-4034,1999-01,4,1,,,,,
,Journal of Career Assessment,1069-0727,1552-4590,1999-01,7,1,,,,,
,Journal of Career Development,0894-8453,1556-0856,1999-01,25,3,,,,,
,Journal of Cases in Educational Leadership,1555-4589,,1999-03,2,1,,,,,
,Journal of Cellular Plastics,0021-955X,1530-7999,1999-01,35,1,,,,,
,Journal of Child Health Care,1367-4935,1741-2889,1999-04,3,1,,,,,
,Journal of Child Neurology,0883-0738,1708-8283,1999-01,14,1,,,,,
,Journal of Classical Sociology,1468-795X,1741-2897,2001-03,1,1,,,,,
,Journal of Cognitive Engineering and Decision Making ,1555-3434,,2007-03,1,1,,,,,
,Journal of Communication Inquiry,0196-8599,1552-4612,1999-01,23,1,,,,,
,Journal of Composite Materials,0021-9983,1530-793X,1999-01,33,1,,,,,
,Journal of Conflict Resolution,0022-0027,1552-8766,1999-02,43,1,,,,,Y
,Journal of Consumer Culture,1469-5405,1741-2900,2001-03,1,1,,,,,
,Journal of Contemporary Criminal Justice,1043-9862,1552-5406,1999-02,15,1,,,,,
,Journal of Contemporary Ethnography,0891-2416,1552-5414,1999-01,27,4,,,,,
,Journal of Contemporary History,0022-0094,1461-7250,1999-01,34,1,,,,,Y
,Journal of Correctional Health Care,1078-3458,1940-5200,1999-04,6,1,,,,,
,Journal of Creative Communications,0973-2586,0973-2594,2006-03,1,1,2010-03,5,1,,
,Journal of Cross-Cultural Psychology,0022-0221,1552-5422,1999-01,30,1,,,,,Y
